Cliente_id,Estado,Saldo,Saldo vencido,Creditos activos,Cuotas impagas,Días de atraso (máx.),Tiene cuotas impagas
EQIZ42053419792890,Borrador,,,0,0,0,No
MSOW41094656301694,Revisión,2174192.7,,1,0,0,No
FVKK25184266745450,Borrador,,,0,0,0,No
RYKD39302279865898,Aprobado,,,0,0,0,No
RYKD39302279865898,Borrador,,,0,0,0,No
PFOF69693667436444,Revisión,1739354.17,,1,0,0,No
OXKJ51556136341153,Aprobado,4472624.99,,1,0,0,No
DTZN54116067682818,Borrador,,,0,0,0,No
FLAQ81558101744075,Aprobado,,,0,0,0,No
HXGE11963482521487,Aprobado,11135060.78,5360.16,2,0,0,No
ADPK24637317082489,Borrador,,,0,0,0,No
UVAX65056572607611,Aprobado,369568.76,,1,0,0,No
KURT59399107437739,Aprobado,13666354.11,,1,0,0,No
BYMJ10465714597596,Aprobado,307973.95,,1,0,0,No
VEDG50640180183939,Aprobado,,,1,0,0,No
OEFJ19981039660040,Aprobado,,,0,0,0,No
OEFJ19981039660040,Aprobado,,,0,0,0,No
VCXQ78231421271671,Aprobado,1552994.78,,1,0,0,No
TNFV96272278000648,Aprobado,794313.53,,1,0,0,No
OEFJ19981039660040,Borrador,,,0,0,0,No
OHGF85234899221522,Aprobado,,,0,0,0,No
LWYB43634755884722,Aprobado,6666620.13,,1,0,0,No
MNHC06495488924942,Aprobado,15032989.51,,1,0,0,No
OHPW92489711312712,Aprobado,319738.41,160875.7,1,0,0,No
XKKV81390557768744,Revisión,8625291.19,,1,0,0,No
OHPW92489711312712,Borrador,,,0,0,0,No
WNUH31158976673846,Aprobado,,,0,0,0,No
RPOA36260868194590,Aprobado,88918626.57,,6,0,0,No
WLGF57203698583218,Aprobado,1242395.82,,1,0,0,No
GSHW63941268517531,Borrador,,,0,0,0,No
JGWO35797807532838,Aprobado,,,0,0,0,No
MMXV08211193488194,Aprobado,9777729.21,,1,0,0,No
FHIQ43840170132512,Aprobado,307973.95,,1,0,0,No
IHWT24295410057942,Aprobado,,,0,0,0,No
QCTI01194005279979,Borrador,,,0,0,0,No
GNDZ51806030858091,Aprobado,,,0,0,0,No
GSHW63941268517531,Aprobado,,,0,0,0,No
KAFQ66752766792309,Borrador,,,0,0,0,No
KAFQ66752766792309,Borrador,,,0,0,0,No
BACW15143930913547,Aprobado,369568.76,,1,0,0,No
GQMH53716677247919,Aprobado,5666627.21,,1,0,0,No
IPVF97423467104382,Aprobado,615947.91,,1,0,0,No
KGEQ70135666190650,Revisión,,,0,0,0,No
IXPO34470499852654,Aprobado,,,0,0,0,No
KAFQ66752766792309,Aprobado,3180533.31,,2,0,0,No
DDBC70648716007693,Borrador,,,0,0,0,No
DDBC70648716007693,Revisión,107080.15,,1,0,0,No
DDBC70648716007693,Borrador,,,0,0,0,No
FDJB22195601538967,Borrador,,,0,0,0,No
ZTKT30541081372458,Aprobado,397535.2,,1,0,0,No
QHUS50005910924589,Aprobado,,,0,0,0,No
FQUA58426979191747,Aprobado,2435095.81,,1,0,0,No
GVTV94059724594312,Aprobado,5285677.38,,1,0,0,No
MLEJ54502666695825,Aprobado,9333268.19,,1,0,0,No
TUAN53743920630786,Aprobado,3105949.58,,1,0,0,No
KWOC00982031999189,Borrador,,,0,0,0,No
KWOC00982031999189,Borrador,,,0,0,0,No
QUIW49381962016049,Aprobado,1490875.0,,1,0,0,No
ISSE85770897640495,Aprobado,,,0,0,0,No
ISSE85770897640495,Aprobado,,,0,0,0,No
FNLB05364028911064,Aprobado,3354468.74,,1,0,0,No
JKAI64418851604600,Borrador,,,0,0,0,No
LTQD66955583509426,Aprobado,,,0,0,0,No
OKIZ92513840753122,Borrador,,,0,0,0,No
RYMN31685120733266,Borrador,,,0,0,0,No
OBHW36650130265415,Aprobado,583051.62,,1,0,0,No
BJHO55023916370976,Aprobado,,,0,0,0,No
SHDO75569380565528,Aprobado,,,0,0,0,No
GMVR03192338445730,Aprobado,795070.38,,1,0,0,No
AYUC66192063805524,Aprobado,2156322.81,,1,0,0,No
AYUC66192063805524,Borrador,,,0,0,0,No
MCIU33409571191858,Aprobado,,,0,0,0,No
MCIU33409571191858,Borrador,,,0,0,0,No
EORH88985070574280,Aprobado,147827.49,,1,0,0,No
ADAL00706402808185,Aprobado,,,0,0,0,No
UVRH02014921118552,Aprobado,32622888.38,,2,0,0,No
WXBF93022680706910,Borrador,,,0,0,0,No
FBTX79375351118037,Borrador,,,0,0,0,No
HXSB23934995449267,Aprobado,2236312.49,,1,0,0,No
SOQS84585530784087,Aprobado,,,0,0,0,No
HUVM86038588461199,Aprobado,,,0,0,0,No
HCBZ25805982823730,Aprobado,2236312.5,,1,0,0,No
FNDO87417476190222,Borrador,,,0,0,0,No
CHHJ05376050869722,Aprobado,4190446.94,,1,0,0,No
ODPP57770842670957,Aprobado,15644366.74,,1,0,0,No
TIIR73715813826278,Aprobado,5947054.15,,2,0,0,No
FQYO08406540115273,Aprobado,,,0,0,0,No
ABZZ73331823109136,Aprobado,,,0,0,0,No
BCKO63083856874418,Revisión,5780012.76,,2,0,0,No
YOOF89916520566678,Aprobado,,,0,0,0,No
YCRJ82464245554386,Borrador,,,0,0,0,No
AIHG14749350731672,Aprobado,2095465.66,,2,0,0,No
RBUH95446197936249,Aprobado,1867540.95,3947.2,1,0,0,No
