Cliente_id,Estado,Saldo,Saldo vencido,Creditos activos,Cuotas impagas,Días de atraso (máx.),Tiene cuotas impagas
JJKM89875687488917,Borrador,,,0,0,0,No
ULVG30804966801552,Aprobado,,,0,0,0,No
GWCO93755381346790,Aprobado,9777729.21,,1,0,0,No
UJVY36395477439149,Aprobado,307973.95,,1,0,0,No
YJYO21264822986093,Aprobado,,,0,0,0,No
UERJ24297620676181,Borrador,,,0,0,0,No
AFNF23683711247855,Aprobado,,,0,0,0,No
JJKM89875687488917,Aprobado,,,0,0,0,No
XZNQ47711903326246,Borrador,,,0,0,0,No
XZNQ47711903326246,Borrador,,,0,0,0,No
RWCR61065997332677,Aprobado,369568.76,,1,0,0,No
PKQQ53624628387450,Aprobado,5666627.21,,1,0,0,No
POYG69849087587903,Aprobado,615947.91,,1,0,0,No
KBZQ76229242243086,Revisión,,,0,0,0,No
JSLB27723254366735,Aprobado,,,0,0,0,No
XZNQ47711903326246,Aprobado,3180533.31,,2,0,0,No
HQQU05921223360688,Borrador,,,0,0,0,No
HQQU05921223360688,Revisión,107080.15,,1,0,0,No
HQQU05921223360688,Borrador,,,0,0,0,No
SFRS00275760714815,Borrador,,,0,0,0,No
AQEM51172391603448,Aprobado,397535.2,,1,0,0,No
ECVN92144534823067,Aprobado,,,0,0,0,No
JQKL01927376402697,Aprobado,2435095.81,,1,0,0,No
YBNY94270598046595,Aprobado,5285677.38,,1,0,0,No
XLJZ35217030480298,Aprobado,9333268.19,,1,0,0,No
RITH66478944504994,Aprobado,3105949.58,,1,0,0,No
KGOA05842551367176,Borrador,,,0,0,0,No
KGOA05842551367176,Borrador,,,0,0,0,No
ZOAR91169269834427,Aprobado,1490875.0,,1,0,0,No
VXHK42412490784335,Aprobado,,,0,0,0,No
VXHK42412490784335,Aprobado,,,0,0,0,No
JBHV53885274983730,Aprobado,3354468.74,,1,0,0,No
JFRP51982992035011,Borrador,,,0,0,0,No
OWID55916815283837,Aprobado,,,0,0,0,No
YWEH69713534145692,Borrador,,,0,0,0,No
FSUZ97386197639272,Borrador,,,0,0,0,No
MHPD29620306134597,Aprobado,583051.62,,1,0,0,No
CWVW33704487791114,Aprobado,,,0,0,0,No
AKEC87835234897748,Aprobado,,,0,0,0,No
MVQR04784589248366,Aprobado,795070.38,,1,0,0,No
JXVQ47051285811197,Aprobado,2156322.81,,1,0,0,No
JXVQ47051285811197,Borrador,,,0,0,0,No
RGAN14421642054169,Aprobado,,,0,0,0,No
RGAN14421642054169,Borrador,,,0,0,0,No
OSHD58473391249097,Aprobado,147827.49,,1,0,0,No
SLJB26035358064614,Aprobado,,,0,0,0,No
LPDR58707695619866,Aprobado,32622888.38,,2,0,0,No
YXNT76796991843908,Borrador,,,0,0,0,No
GFXM32401243356998,Borrador,,,0,0,0,No
XDMA22236338184193,Aprobado,2236312.49,,1,0,0,No
HBIJ71331915989680,Aprobado,,,0,0,0,No
SBCW46934871097654,Aprobado,,,0,0,0,No
YXEJ76177235551486,Aprobado,2236312.5,,1,0,0,No
NCCI51442062271721,Borrador,,,0,0,0,No
IDFR16716685261973,Aprobado,4190446.94,,1,0,0,No
RMLQ06644302576727,Aprobado,15644366.74,,1,0,0,No
IALF19921952614299,Aprobado,5947054.15,,2,0,0,No
XDLZ17258315605850,Aprobado,,,0,0,0,No
SUOP45192180023898,Aprobado,,,0,0,0,No
JNRB63087805216386,Revisión,5780012.76,,2,0,0,No
YIYH99797182112541,Aprobado,,,0,0,0,No
FBUG93382182712147,Borrador,,,0,0,0,No
PVVB69565302479338,Aprobado,2095465.66,,2,0,0,No
NTCL51992509031496,Aprobado,1867540.95,3947.2,1,0,0,No
